cycle	date	conv_rate	cost_per_conv	assets_deployed	winners	losers	status	description
1	2026-05-08	0.005263	406.36	0	0	0	observe	OBSERVE mode (Cosmos C1). 5 campaigns, 14 ad groups, 190 clicks, 1 conv. Brand exact only converter (48 clicks, 1 conv). Competitor claude_code $159 0 conv. No experiments yet.
2	2026-05-11	0.003364	555.34	0	0	0	act	ACT mode (Cosmos C2). 743 clicks, 2.5 conv, $1388 spend. 4 ad groups eligible (>=100 clicks). Deployed 32 negative keywords across 3 campaigns (codereview/platform/generic) blocking competitor leakage (claude code, blackbox ai, opencode, openrouter, code rabbit) and irrelevant terms (ai code detector, pictoblox, deepseek, etc). Est. savings ~$387/mo.
3	2026-05-14	0.004728	330.12	0	0	0	act	ACT mode (Cosmos C3). 1586 clicks, 7.5 conv, $2476 spend (30d window). 5 ad groups eligible (>=100 clicks). CTR stable at 5.4%. Negatives from C2 active but still in 30d washout. Deployed 8 additional negatives (kimi, google flow/ai studio, gemma, builder io, 21st dev, pi coding agent) x3 campaigns = 24 new. Total negatives now 56.
4	2026-05-18	0.006004	247.72	0	0	0	act	ACT mode (Cosmos C4). 2415 clicks, 14.5 conv, $3592 spend (30d window). 5 ad groups eligible. CTR up to 5.7%, CR improved to 0.60%, cost/conv down to $248. Deployed 12 new negatives (black box ai, codeium, ai code detector, code ai detector, chatgpt codex, deep seek, flutterflow, playcode io, thunkable ai, qwen ai, llama coder, syntax ai) x3 campaigns = 36 new. Total negatives now 92. No experiments yet. Codereview at $857/0 conv - flagged for review.
5	2026-05-21	0.006729	211.52	0	0	0	act	ACT mode (Cosmos C5). 3195 clicks, 21.5 conv, $4548 spend (30d window). 6 ad groups eligible (brand/phrase now qualifies). CTR 6.1%, CR improved to 0.67%, cost/conv down to $212. Deployed 14 new negatives (claude ai, base44, replit, codegpt, coderabbit ai, code rabbit ai, blackboxai, open code ia, google studio ai, ai google studio, flutter flow, thunkable alternatives, claude free, ai coding ranking) x3 campaigns = 42 new. Total negatives now 134. Codereview still $1107/0 conv - strongly recommend pausing. Also paused all 19 intent campaign ads at user request.
6	2026-05-25	0.005405	256.52	0	0	0	act	ACT mode (Cosmos C6). 3978 clicks, 21.5 conv, $5515 spend (30d window). 6 ad groups eligible. CR dropped to 0.54% (from 0.67%), cost/conv up to $257 (from $212). Conversions flat while spend grew 21%. Deployed 7 new negatives (arena ai, google i studio, abacus ai, rocketcode2, claude code web, claude ai pricing, open router ai) x3 campaigns = 21 new. Total negatives now 155. ALERTS: Codereview $1296/0 conv (6 cycles, strongly recommend pause). Competitor/claude_code $1450/0 conv (largest zero-conv ad group). Previous negatives reducing waste ($79 new vs $282 last cycle).
7	2026-05-28	0.004500	304.99	0	0	0	act	ACT mode (Cosmos C7). 4778 clicks, 21.5 conv, $6557 spend (30d window). 6 ad groups eligible. CR dropped further to 0.45% (from 0.54%), cost/conv worst ever at $305 (from $257). Conversions flat at 21.5 for 3rd straight cycle while spend grew 19%. Deployed 8 new negatives (grok build, zzz code ai, codegraph github, ai detector for code, uizard io, hermes agent, qwen cli, coding plan) x3 campaigns = 24 new. Total negatives now 179. ALERTS: Codereview $1613/0 conv (7 cycles - 24.6% of spend). Competitor/claude_code $1681/0 conv (1207 clicks). New Blitzy ad group appeared in competitor. Cost/conv deteriorating rapidly - need campaign-level intervention.
8	2026-06-01	0.003856	344.97	0	0	0	act	ACT mode (Cosmos C8). 5577 clicks, 21.5 conv, $7417 spend (30d window). 6 ad groups eligible. CR dropped to 0.39% (from 0.45%), cost/conv new worst at $345 (from $305). Conversions FLAT at 21.5 for 4TH STRAIGHT CYCLE while spend grew 63% since C5. Deployed 5 new negatives (ai detector code, code review graph, code review benchmark, code agent ranking, codex code review bitbucket) x3 campaigns = 15 new. Total negatives now 194. Negative keyword marginal returns diminishing - new waste only $120. CRITICAL: Codereview $1778/0 conv (8 cycles, 24% of spend). Competitor/claude_code $1872/0 conv (1345 clicks). Blitzy growing (12 clicks from 2). New devin ad group (9 clicks, $14, 0 conv). Campaign-level intervention urgently needed - negative keywords alone cannot fix structural spend problems.
9	2026-06-04	0.003984	325.33	0	0	0	act	ACT mode (Cosmos C9). 6400 clicks, 25.5 conv, $8296 spend (30d window). 6 ad groups eligible. CR ticked up to 0.40% (from 0.39%), cost/conv improved to $325 (from $345). FIRST CONVERSION INCREASE IN 5 CYCLES: 21.5->25.5 (+19%), driven by brand (15->18) and generic (4.5->5.5). Deployed 5 new negatives (lovable dev, claude opus 4.8, codex vs claude code, code reviewer agent, com openai chat codex open) x3 campaigns = 15 new. Total negatives now 209. ALERTS: Codereview $2006/0 conv (9 cycles, 24% of spend). Competitor/claude_code $2079/0 conv (1481 clicks). Together $4085 = 49% of spend with ZERO conv. If paused, cost/conv drops to ~$165. Recommend pausing codereview campaign and competitor/claude_code ad group.
10	2026-06-11	0.003069	415.65	0	0	0	act	ACT mode (Cosmos C10). First cycle with 2 new solutions campaigns. 8309 clicks, 25.5 conv, $10599 spend (30d window). 7 campaigns (codereview PAUSED, claude_code PAUSED — trailing $4092 still in window). Active-only: $6507 spend, CR 0.44%, cost/conv $255 (better than C9 $325). Brand 18 conv/$1719, Generic 5.5/$1857, Competitor 1/$2891, Platform 1/$1471, Solutions/code_review 0/$329, Solutions/incident_mgmt 0/$324. Incident mgmt CTR 14.8% (strong). Code review CTR 3.2% (weak). Deployed 42 new negatives: 12 each to solutions_code_review + solutions_incident_management (first-ever negatives — browserstack, website app testing, low code automation, cyber intelligence, cybersecurity, groundcover, codeshare, codepen, openfuture, gemini code, chatgpt code, vercel prompt) + 6 each to generic/platform/competitor. Total negatives now 251.
11	2026-06-15	0.002710	458.54	0	0	0	act	ACT mode (Cosmos C11). 9411 clicks, 25.5 conv, $11693 spend (30d window). Paused trailing $4092 (35% of total, down from 39%). Active-only: $7601 spend, 6968 clicks, CR 0.37% (down from 0.44%), cost/conv $298 (up from $255). Conversions FLAT at 25.5 for 3rd cycle. Brand 18/$1857, Generic 5.5/$2009, Competitor 1/$3161, Platform 1/$1579, Solutions/code_review 0/$542 (CTR 3.7%), Solutions/incident_mgmt 0/$536 (CTR 13.5%). Solutions campaigns growing fast (+$425 combined) with zero conversions — conversion metric still placeholder. Deployed 42 new negatives: 12 each to solutions campaigns (crowdstrike, threat detection, cloud risk assessment, business security, evoice, ai governance, ai customer engagement, saas ai, n8n, devsecops, ai code detector, argument code) + 6 each to generic/platform/competitor (kodular, android studio, vibe coding, clearscript, openai platform, playcode). Total negatives now 293. ALERT: Active cost/conv deteriorating — solutions spend growing with no return. Need real conversion tracking urgently.
12	2026-06-25	0.002080	590.24	0	0	0	act	ACT mode (Cosmos C12). 12262 clicks, 25.5 conv, $15051 spend (30d window). Paused trailing $4092 (27% of total, down from 35%). Active-only: $10959 spend, 9819 clicks, CR 0.26% (down from 0.37%), cost/conv $430 (up from $298). 🚨 WORST ACTIVE COST/CONV EVER — 4th straight cycle at 25.5 conv while active spend grew 44%. Brand 18/$2382, Generic 5.5/$2574, Competitor(active) 1/$1953, Platform 1/$2024, Solutions/code_review 0/$1035 (CTR 3.3%), Solutions/incident_mgmt 0/$990 (CTR 10.5%). Solutions campaigns nearly doubled spend ($1078→$2025 combined) with STILL zero conversions. Every campaign growing spend but no new conversions. Deployed 32 new negatives: 4 to code_review (kissflow, service provider, custom development, software development service), 5 to incident_mgmt (kissflow, cybersecurity remediation, it security, saas security, it support), 11 to platform (flutterflow, flutter flow, aistudio, arena ai, continue dev, grok, qwen, replit, google flow, blackbox ai, google studio), 7 to generic (blackbox ai, chatgpt codex, flutterflow, grok, qwen, replit, clevered), 5 to competitor (hermes agent, flutterflow, grok, qwen, replit). Total negatives now 325. CRITICAL: Negative keywords alone cannot fix this — conversions are structurally capped. Need real conversion tracking AND budget reallocation away from zero-converting campaigns.
13	2026-06-29	0.001940	474.12	0	0	0	act	ACT mode (Cosmos C13). 13176 clicks, 25.5 conv, $16182 spend (30d window). Paused trailing $4092 (25% of total). Active-only: $12090 spend, 10733 clicks, CR 0.24% (down from 0.26%), cost/conv $474 (up from $430). 🚨 5TH STRAIGHT CYCLE AT 25.5 CONV — active cost/conv has nearly TRIPLED since C9 ($165→$474). Brand 18/$2521, Generic 5.5/$2739, Competitor(active) 1/$2245, Platform 1/$2177, Solutions/code_review 0/$1207 (CTR 3.3%), Solutions/incident_mgmt 0/$1201 (CTR 10.0%). Solutions campaigns $2408 combined, still zero conversions. Deployed 21 new negatives: 7 to incident_mgmt (cyber security, deepwatch, security tools, ai solution providers, ai service providers, ia automatizacion, threat detection software), 4 to code_review (deepseek, application development services, claude ai for business, coderabbit), 4 to platform (ai studio google, opus 4.7, lovable, opencode), 4 to generic (codeformer, abacus ai, opencode, coding plan), 2 to competitor (abacus ai, opencode). Total negatives now 346. CRITICAL: Conversion metric still broken (all included actions REMOVED). Without fixing this, every cycle just burns more money with no measurable return. Negative keyword lever is exhausted.
14	2026-07-02	0.000367	3072.62	0	0	0	observe	OBSERVE mode (Cosmos C14). 🔧 CONVERSION TRACKING CONFIG CHANGED — the zombie 25.5 conv (from REMOVED actions) is GONE. Conversion metric now points at ENABLED actions (Added Credit Card, Signup Completed, Successful Free Sign Up, User Became Activated, Form, etc.). New TRUE baseline: 6 active Cosmos campaigns, 8166 clicks, 3 conv, $9218 spend, CR 0.037%, cost/conv $3073. Only 2 real conv recorded, BOTH from 'Submitted Contact Us Form' (brand_cosmos 2, generic_cosmos 1) — note that action has include_in_conversions=false yet is the only firing signal; primary signup actions firing ~0. Per-campaign: brand_cosmos 2/$1418, generic 1/$1518, competitor 0/$2418, platform 0/$1213, sol_code_review 0/$1302, sol_incident_mgmt 0/$1349. Paused codereview trailing $180. Deployed 2 negatives to incident_mgmt (kissflow, aiops). Total negatives now 348. DECISION: Held in OBSERVE — do NOT treat 25.5→3 as a regression (measurement changed, not performance). Clean-data clock STARTS today; per standing instruction, no copy experiments until 7-14 days of clean conversion data accumulate (~Jul 9-16). No experiments have ever been launched (experiments.jsonl empty), so nothing to score.
